,Country,Distance,Food Type,Monument,Price,Rating,Review Count
4,US,2875.471385393226,Barbeque,Statue of Liberty,2,4.0,984
5,US,2997.0205199870816,Mexican,Statue of Liberty,1,4.0,1441
6,US,3169.1191403362195,Italian,Statue of Liberty,2,4.0,595
7,US,3529.0862581501738,Cafes,Statue of Liberty,1,4.5,346
8,US,2798.573093946414,Cafes,Statue of Liberty,2,4.0,522
9,US,3211.041203155466,Korean,Statue of Liberty,2,4.0,653
10,US,3481.0553439505697,Mexican,Statue of Liberty,2,4.0,796
11,US,3072.4657043908196,Diners,Statue of Liberty,2,3.5,1150
12,US,3533.571550206962,Latin American,Statue of Liberty,2,4.0,660
13,US,2860.960718818742,Wine Bars,Statue of Liberty,3,4.0,546
14,US,3660.6648137862217,Seafood,Statue of Liberty,2,4.5,499
15,US,3387.361990080732,Thai,Statue of Liberty,2,4.5,253
16,US,2251.3982780168617,American (New),Statue of Liberty,3,3.5,366
17,US,3478.706132255396,American (New),Statue of Liberty,2,4.0,839
18,US,3409.467956419164,Seafood,Statue of Liberty,2,4.5,246
19,US,3002.990722864024,Cafes,Statue of Liberty,1,4.5,159
21,FR,539.22570099633,French,Eiffel Tower,3,4.0,432
22,FR,28.485776018164,French,Eiffel Tower,4,4.0,353
23,FR,968.8522879935839,Basque,Eiffel Tower,2,4.5,169
25,FR,510.634214192794,French,Eiffel Tower,3,4.0,288
26,FR,1308.196241571058,French,Eiffel Tower,2,4.5,304
27,FR,599.476458539784,French,Eiffel Tower,3,4.5,191
28,FR,872.740810489772,Coffee & Tea,Eiffel Tower,1,4.5,207
29,FR,852.0511109878039,French,Eiffel Tower,2,4.0,248
30,FR,862.0951361467601,French,Eiffel Tower,4,4.0,201
31,FR,1244.788568082794,Steakhouses,Eiffel Tower,3,4.0,385
32,FR,6.80013661813,French,Eiffel Tower,4,3.5,222
33,FR,430.449189551006,Italian,Eiffel Tower,2,4.0,176
34,FR,617.307626285794,French,Eiffel Tower,3,4.0,122
35,FR,777.641395091212,Bars,Eiffel Tower,2,4.0,118
38,FR,1227.020311046724,French,Eiffel Tower,4,4.5,105
41,GB,1312.924467363262,Indian,Big Ben,2,4.5,1150
44,GB,913.1816369339518,Coffee & Tea,Big Ben,1,4.5,306
45,GB,806.5380230585239,Wine Bars,Big Ben,2,4.5,371
49,GB,1421.8876630532561,British,Big Ben,3,4.5,286
50,GB,1368.55941585873,Cafes,Big Ben,3,4.0,428
51,GB,1524.148822502566,Coffee & Tea,Big Ben,2,4.5,272
52,GB,1615.87900913308,Dim Sum,Big Ben,3,4.0,441
