,Country,Distance,Food Type,Monument,Price,Rating,Review Count
0,US,75.94992621,Landmarks & Historical Buildings,Statue of Liberty,n/a,4.5,821
1,US,1131.717451,Museums,Statue of Liberty,n/a,4.5,291
2,US,2377.859054,Landmarks & Historical Buildings,Statue of Liberty,n/a,4.5,271
3,US,1798.598168,Parks,Statue of Liberty,n/a,4.5,178
4,US,2875.471385,Barbeque,Statue of Liberty,2,4,982
5,US,2997.02052,Mexican,Statue of Liberty,1,4,1440
6,US,3169.11914,Italian,Statue of Liberty,2,4,595
7,US,3529.086258,Cafes,Statue of Liberty,1,4.5,346
8,US,2798.573094,Cafes,Statue of Liberty,2,4,522
9,US,3211.041203,Korean,Statue of Liberty,2,4,652
10,US,3481.055344,Mexican,Statue of Liberty,2,4,793
11,US,3072.465704,Diners,Statue of Liberty,2,3.5,1149
12,US,3533.57155,Latin American,Statue of Liberty,2,4,660
13,US,2860.960719,Wine Bars,Statue of Liberty,3,4,546
14,US,3660.664814,Seafood,Statue of Liberty,2,4.5,499
15,US,3387.36199,Thai,Statue of Liberty,2,4.5,252
16,US,2251.398278,American (New),Statue of Liberty,3,3.5,366
17,US,3478.706132,American (New),Statue of Liberty,2,4,837
18,US,3409.467956,Seafood,Statue of Liberty,2,4.5,245
19,US,3002.990723,Cafes,Statue of Liberty,1,4.5,159
20,FR,0.245031671,Landmarks & Historical Buildings,Eiffel Tower,n/a,4.5,1641
21,FR,539.225701,French,Eiffel Tower,3,4,432
22,FR,28.48577602,French,Eiffel Tower,4,4,353
23,FR,968.852288,Basque,Eiffel Tower,2,4.5,169
24,FR,1719.026836,Landmarks & Historical Buildings,Eiffel Tower,n/a,4.5,568
25,FR,510.6342142,French,Eiffel Tower,3,4,288
26,FR,1308.196242,French,Eiffel Tower,2,4.5,304
27,FR,599.4764585,French,Eiffel Tower,3,4.5,191
28,FR,872.7408105,Coffee & Tea,Eiffel Tower,1,4.5,206
29,FR,852.051111,French,Eiffel Tower,2,4,247
30,FR,862.0951361,French,Eiffel Tower,4,4,201
31,FR,1244.788568,Steakhouses,Eiffel Tower,3,4,385
32,FR,6.800136618,French,Eiffel Tower,4,3.5,222
33,FR,430.4491896,Italian,Eiffel Tower,2,4,173
34,FR,617.3076263,French,Eiffel Tower,3,4,122
35,FR,777.6413951,Bars,Eiffel Tower,2,4,118
36,FR,542.5723118,French,Eiffel Tower,4,4.5,91
37,FR,589.660589,French,Eiffel Tower,3,4.5,49
38,FR,1227.020311,French,Eiffel Tower,4,4.5,105
39,FR,1134.84469,Modern European,Eiffel Tower,4,4.5,58
40,GB,5.932136031,Landmarks & Historical Buildings,Big Ben,n/a,4.5,403
41,GB,1312.924467,Indian,Big Ben,2,4.5,1147
42,GB,456.3767338,Local Flavor,Big Ben,n/a,4,876
43,GB,246.4822744,Churches,Big Ben,n/a,4.5,296
44,GB,913.1816369,Coffee & Tea,Big Ben,1,4.5,306
45,GB,806.5380231,Wine Bars,Big Ben,2,4.5,371
46,GB,116.2826086,Landmarks & Historical Buildings,Big Ben,n/a,4.5,158
47,GB,368.0709157,Landmarks & Historical Buildings,Big Ben,n/a,4.5,167
48,GB,743.3665778,Parks,Big Ben,n/a,4.5,166
49,GB,1421.887663,British,Big Ben,3,4.5,286
50,GB,1368.559416,Cafes,Big Ben,3,4,427
51,GB,1524.148823,Coffee & Tea,Big Ben,2,4.5,272
52,GB,1615.879009,Dim Sum,Big Ben,3,4,441
53,GB,1976.839657,Parks,Big Ben,n/a,4.5,343
54,GB,1588.636648,Indian,Big Ben,2,4,410
55,GB,1585.32312,Steakhouses,Big Ben,2,4.5,287
56,GB,1520.756379,Burgers,Big Ben,2,4.5,238
57,GB,1718.324194,Indian,Big Ben,2,4.5,287
58,GB,1546.237026,Mediterranean,Big Ben,3,4.5,232
59,GB,1507.96734,Seafood,Big Ben,2,4,252
60,IT,5.317613898,Landmarks & Historical Buildings,Leaning Tower of Pisa,n/a,4,189
