,Country,Distance,Food Type,Monument,Price,Rating,Review Count
4,US,2875.471385393226,Barbeque,Statue of Liberty,2,4.0,984
5,US,2997.0205199870816,Mexican,Statue of Liberty,1,4.0,1441
6,US,3169.1191403362195,Italian,Statue of Liberty,2,4.0,595
7,US,3529.0862581501738,Cafes,Statue of Liberty,1,4.5,346
8,US,2798.573093946414,Cafes,Statue of Liberty,2,4.0,522
9,US,3211.041203155466,Korean,Statue of Liberty,2,4.0,653
10,US,3481.0553439505697,Mexican,Statue of Liberty,2,4.0,796
11,US,3072.4657043908196,Diners,Statue of Liberty,2,3.5,1150
12,US,3533.571550206962,Latin American,Statue of Liberty,2,4.0,660
13,US,2860.960718818742,Wine Bars,Statue of Liberty,3,4.0,546
14,US,3660.6648137862217,Seafood,Statue of Liberty,2,4.5,499
15,US,3387.361990080732,Thai,Statue of Liberty,2,4.5,253
16,US,2251.3982780168617,American (New),Statue of Liberty,3,3.5,366
17,US,3478.706132255396,American (New),Statue of Liberty,2,4.0,839
18,US,3409.467956419164,Seafood,Statue of Liberty,2,4.5,246
19,US,3002.990722864024,Cafes,Statue of Liberty,1,4.5,159
100,US,810.389297919572,Burgers,Empire State Building,2,4.0,5343
101,US,624.294256602738,Bagels,Empire State Building,1,4.5,2079
102,US,1576.689148581274,Food Stands,Empire State Building,1,4.5,8722
103,US,761.712601766026,American (New),Empire State Building,4,4.5,1760
104,US,797.492936802724,Italian,Empire State Building,2,4.0,4781
105,US,201.728871266272,Tapas Bars,Empire State Building,2,4.0,1671
106,US,256.874253866654,Steakhouses,Empire State Building,4,4.0,2061
107,US,136.422590339322,Korean,Empire State Building,1,4.0,2339
110,US,99.39792504093799,Coffee & Tea,Empire State Building,2,4.0,1558
111,US,446.186263006662,Italian,Empire State Building,3,4.0,1605
113,US,370.08690200967396,Coffee & Tea,Empire State Building,2,4.5,1296
114,US,485.56005679734193,Mediterranean,Empire State Building,3,4.0,2047
115,US,1983.5545827859958,Ramen,Empire State Building,2,4.0,9239
116,US,1126.675756124386,Seafood,Empire State Building,2,4.0,4216
117,US,1126.457139838238,American (New),Empire State Building,4,4.5,2448
118,US,66.821338225852,Chicken Wings,Empire State Building,2,4.0,1664
119,US,459.703460341848,French,Empire State Building,3,4.0,1288
121,US,4392.452459236568,Bakeries,Hollywood Sign,1,4.5,7210
122,US,3311.7762446339216,Breakfast & Brunch,Hollywood Sign,2,4.0,2820
123,US,3565.569290737386,Mediterranean,Hollywood Sign,3,4.0,1664
125,US,2563.221157541102,Hot Dogs,Hollywood Sign,1,4.5,663
