,Country,Distance,Food Type,Monument,Price,Rating,Review Count
0,US,75.94992621409,Landmarks & Historical Buildings,Statue of Liberty,n/a,4.5,821
1,US,1131.717450610196,Museums,Statue of Liberty,n/a,4.5,291
2,US,2377.859054078052,Landmarks & Historical Buildings,Statue of Liberty,n/a,4.5,271
3,US,1798.5981681875057,Parks,Statue of Liberty,n/a,4.5,178
4,US,2875.471385393226,Barbeque,Statue of Liberty,2,4.0,982
5,US,2997.0205199870816,Mexican,Statue of Liberty,1,4.0,1440
6,US,3169.1191403362195,Italian,Statue of Liberty,2,4.0,595
7,US,3529.0862581501738,Cafes,Statue of Liberty,1,4.5,346
8,US,2798.573093946414,Cafes,Statue of Liberty,2,4.0,522
9,US,3211.041203155466,Korean,Statue of Liberty,2,4.0,652
10,US,3481.0553439505697,Mexican,Statue of Liberty,2,4.0,793
11,US,3072.4657043908196,Diners,Statue of Liberty,2,3.5,1149
12,US,3533.571550206962,Latin American,Statue of Liberty,2,4.0,660
13,US,2860.960718818742,Wine Bars,Statue of Liberty,3,4.0,546
14,US,3660.6648137862217,Seafood,Statue of Liberty,2,4.5,499
15,US,3387.361990080732,Thai,Statue of Liberty,2,4.5,252
16,US,2251.3982780168617,American (New),Statue of Liberty,3,3.5,366
17,US,3478.706132255396,American (New),Statue of Liberty,2,4.0,837
18,US,3409.467956419164,Seafood,Statue of Liberty,2,4.5,245
19,US,3002.990722864024,Cafes,Statue of Liberty,1,4.5,159
20,FR,0.24503167103999998,Landmarks & Historical Buildings,Eiffel Tower,n/a,4.5,1641
21,FR,539.22570099633,French,Eiffel Tower,3,4.0,432
22,FR,28.485776018164,French,Eiffel Tower,4,4.0,353
23,FR,968.8522879935839,Basque,Eiffel Tower,2,4.5,169
24,FR,1719.0268355819278,Landmarks & Historical Buildings,Eiffel Tower,n/a,4.5,568
25,FR,510.634214192794,French,Eiffel Tower,3,4.0,288
26,FR,1308.196241571058,French,Eiffel Tower,2,4.5,304
27,FR,599.476458539784,French,Eiffel Tower,3,4.5,191
28,FR,872.740810489772,Coffee & Tea,Eiffel Tower,1,4.5,206
29,FR,852.0511109878039,French,Eiffel Tower,2,4.0,247
30,FR,862.0951361467601,French,Eiffel Tower,4,4.0,201
31,FR,1244.788568082794,Steakhouses,Eiffel Tower,3,4.0,385
32,FR,6.80013661813,French,Eiffel Tower,4,3.5,222
33,FR,430.449189551006,Italian,Eiffel Tower,2,4.0,173
34,FR,617.307626285794,French,Eiffel Tower,3,4.0,122
35,FR,777.641395091212,Bars,Eiffel Tower,2,4.0,118
36,FR,542.572311778148,French,Eiffel Tower,4,4.5,91
37,FR,589.660589029826,French,Eiffel Tower,3,4.5,49
38,FR,1227.020311046724,French,Eiffel Tower,4,4.5,105
39,FR,1134.84469048634,Modern European,Eiffel Tower,4,4.5,58
40,GB,5.932136031384,Landmarks & Historical Buildings,Big Ben,n/a,4.5,403
41,GB,1312.924467363262,Indian,Big Ben,2,4.5,1147
42,GB,456.3767337604,Local Flavor,Big Ben,n/a,4.0,876
43,GB,246.482274432836,Churches,Big Ben,n/a,4.5,296
44,GB,913.1816369339518,Coffee & Tea,Big Ben,1,4.5,306
45,GB,806.5380230585239,Wine Bars,Big Ben,2,4.5,371
46,GB,116.282608550818,Landmarks & Historical Buildings,Big Ben,n/a,4.5,158
47,GB,368.070915748748,Landmarks & Historical Buildings,Big Ben,n/a,4.5,167
48,GB,743.3665778296319,Parks,Big Ben,n/a,4.5,166
49,GB,1421.8876630532561,British,Big Ben,3,4.5,286
50,GB,1368.55941585873,Cafes,Big Ben,3,4.0,427
51,GB,1524.148822502566,Coffee & Tea,Big Ben,2,4.5,272
52,GB,1615.87900913308,Dim Sum,Big Ben,3,4.0,441
53,GB,1976.83965685845,Parks,Big Ben,n/a,4.5,343
54,GB,1588.636647662142,Indian,Big Ben,2,4.0,410
55,GB,1585.323120243638,Steakhouses,Big Ben,2,4.5,287
56,GB,1520.7563794878217,Burgers,Big Ben,2,4.5,238
57,GB,1718.32419419738,Indian,Big Ben,2,4.5,287
58,GB,1546.237026394484,Mediterranean,Big Ben,3,4.5,232
59,GB,1507.9673404275538,Seafood,Big Ben,2,4.0,252
60,IT,5.317613897602,Landmarks & Historical Buildings,Leaning Tower of Pisa,n/a,4.0,189
61,IT,300.833421510976,Italian,Leaning Tower of Pisa,2,4.5,81
62,IT,26.031465408686,Landmarks & Historical Buildings,Leaning Tower of Pisa,n/a,4.5,48
63,IT,315.16734634331,Italian,Leaning Tower of Pisa,1,4.5,27
64,IT,153.563663115424,Churches,Leaning Tower of Pisa,n/a,4.5,18
65,IT,254.78502251897797,Pizza,Leaning Tower of Pisa,1,4.5,15
66,IT,434.300864333044,Italian,Leaning Tower of Pisa,3,4.5,16
