,Country,Distance,Food Type,Monument,Price,Rating,Review Count
4,US,2875.4713850000003,Barbeque,Statue of Liberty,2,4.0,982
5,US,2997.02052,Mexican,Statue of Liberty,1,4.0,1440
6,US,3169.11914,Italian,Statue of Liberty,2,4.0,595
7,US,3529.086258,Cafes,Statue of Liberty,1,4.5,346
8,US,2798.5730940000003,Cafes,Statue of Liberty,2,4.0,522
9,US,3211.041203,Korean,Statue of Liberty,2,4.0,652
10,US,3481.055344,Mexican,Statue of Liberty,2,4.0,793
11,US,3072.4657039999997,Diners,Statue of Liberty,2,3.5,1149
12,US,3533.57155,Latin American,Statue of Liberty,2,4.0,660
13,US,2860.960719,Wine Bars,Statue of Liberty,3,4.0,546
14,US,3660.664814,Seafood,Statue of Liberty,2,4.5,499
15,US,3387.36199,Thai,Statue of Liberty,2,4.5,252
16,US,2251.398278,American (New),Statue of Liberty,3,3.5,366
17,US,3478.7061320000003,American (New),Statue of Liberty,2,4.0,837
18,US,3409.4679560000004,Seafood,Statue of Liberty,2,4.5,245
19,US,3002.990723,Cafes,Statue of Liberty,1,4.5,159
21,FR,539.225701,French,Eiffel Tower,3,4.0,432
22,FR,28.48577602,French,Eiffel Tower,4,4.0,353
23,FR,968.852288,Basque,Eiffel Tower,2,4.5,169
25,FR,510.6342142,French,Eiffel Tower,3,4.0,288
26,FR,1308.196242,French,Eiffel Tower,2,4.5,304
27,FR,599.4764585,French,Eiffel Tower,3,4.5,191
28,FR,872.7408105000001,Coffee & Tea,Eiffel Tower,1,4.5,206
29,FR,852.051111,French,Eiffel Tower,2,4.0,247
30,FR,862.0951361,French,Eiffel Tower,4,4.0,201
31,FR,1244.788568,Steakhouses,Eiffel Tower,3,4.0,385
32,FR,6.800136618,French,Eiffel Tower,4,3.5,222
33,FR,430.44918960000007,Italian,Eiffel Tower,2,4.0,173
34,FR,617.3076262999999,French,Eiffel Tower,3,4.0,122
35,FR,777.6413951000001,Bars,Eiffel Tower,2,4.0,118
36,FR,542.5723118,French,Eiffel Tower,4,4.5,91
37,FR,589.660589,French,Eiffel Tower,3,4.5,49
38,FR,1227.020311,French,Eiffel Tower,4,4.5,105
39,FR,1134.8446900000001,Modern European,Eiffel Tower,4,4.5,58
41,GB,1312.924467,Indian,Big Ben,2,4.5,1147
44,GB,913.1816369,Coffee & Tea,Big Ben,1,4.5,306
45,GB,806.5380231,Wine Bars,Big Ben,2,4.5,371
49,GB,1421.887663,British,Big Ben,3,4.5,286
50,GB,1368.559416,Cafes,Big Ben,3,4.0,427
51,GB,1524.148823,Coffee & Tea,Big Ben,2,4.5,272
52,GB,1615.879009,Dim Sum,Big Ben,3,4.0,441
54,GB,1588.6366480000002,Indian,Big Ben,2,4.0,410
55,GB,1585.32312,Steakhouses,Big Ben,2,4.5,287
56,GB,1520.756379,Burgers,Big Ben,2,4.5,238
57,GB,1718.324194,Indian,Big Ben,2,4.5,287
58,GB,1546.237026,Mediterranean,Big Ben,3,4.5,232
59,GB,1507.9673400000001,Seafood,Big Ben,2,4.0,252
61,IT,300.8334215,Italian,Leaning Tower of Pisa,2,4.5,81
63,IT,315.1673463,Italian,Leaning Tower of Pisa,1,4.5,27
65,IT,254.7850225,Pizza,Leaning Tower of Pisa,1,4.5,15
66,IT,434.3008643,Italian,Leaning Tower of Pisa,3,4.5,16
67,IT,137.6574323,Italian,Leaning Tower of Pisa,2,4.0,13
68,IT,1293.156737,Tuscan,Leaning Tower of Pisa,1,4.0,20
69,IT,375.64822260000005,Trattorie,Leaning Tower of Pisa,2,4.5,13
70,IT,668.2541539,Pizza,Leaning Tower of Pisa,2,4.5,15
71,IT,353.007002,Cafes,Leaning Tower of Pisa,1,4.5,12
72,IT,139.38681530000002,Italian,Leaning Tower of Pisa,2,3.5,20
73,IT,195.51652819999998,Italian,Leaning Tower of Pisa,1,4.0,12
74,IT,566.2359353999999,Italian,Leaning Tower of Pisa,2,4.0,14
75,IT,1150.8757130000001,Italian,Leaning Tower of Pisa,2,4.5,13
76,IT,1222.870214,Cafes,Leaning Tower of Pisa,1,4.0,13
79,IT,508.68627239999995,Indian,Leaning Tower of Pisa,2,4.5,6
81,IT,768.5970033,Pizza,Colosseum,1,4.5,439
82,IT,692.1880932999999,Wine Bars,Colosseum,2,4.5,291
83,IT,276.4716867,Sandwiches,Colosseum,1,4.5,161
86,IT,1450.5164539999998,Sandwiches,Colosseum,2,4.5,356
88,IT,585.6582573,Gelato,Colosseum,1,4.5,111
89,IT,2014.49679,Ice Cream & Frozen Yogurt,Colosseum,1,4.5,387
90,IT,1599.526366,Coffee & Tea,Colosseum,1,4.5,234
91,IT,544.1680786000001,Mediterranean,Colosseum,1,4.5,103
92,IT,1627.181478,Gluten-Free,Colosseum,3,4.5,178
93,IT,1427.273144,Italian,Colosseum,2,4.0,399
94,IT,2076.180793,Italian,Colosseum,2,4.0,440
95,IT,529.0575824,Italian,Colosseum,2,4.0,113
96,IT,1209.970378,Roman,Colosseum,2,4.5,181
97,IT,1255.932835,Italian,Colosseum,2,4.0,316
98,IT,1447.186354,Wine Bars,Colosseum,2,5.0,89
99,IT,1996.78333,Pizza,Colosseum,1,4.5,160
100,US,810.3892979,Burgers,Empire State Building,2,4.0,5342
101,US,624.2942566,Bagels,Empire State Building,1,4.5,2071
102,US,1576.689149,Food Stands,Empire State Building,1,4.5,8717
103,US,761.7126017999999,American (New),Empire State Building,4,4.5,1757
104,US,797.4929367999999,Italian,Empire State Building,2,4.0,4773
105,US,201.7288713,Tapas Bars,Empire State Building,2,4.0,1671
106,US,256.8742539,Steakhouses,Empire State Building,4,4.0,2060
107,US,142.6502709,Korean,Empire State Building,1,4.0,2338
