,Country,Distance,Food Type,Monument,Price,Rank of Distance,Rating,Review Count
0,US,75.94992629322233,Landmarks & Historical Buildings,Statue of Liberty,n/a,1,4.5,821
1,US,1131.7174506600895,Museums,Statue of Liberty,n/a,2,4.5,291
2,US,2377.8590540480245,Landmarks & Historical Buildings,Statue of Liberty,n/a,6,4.5,271
3,US,1798.5981681998228,Parks,Statue of Liberty,n/a,3,4.5,178
4,US,2875.4713853986987,Barbeque,Statue of Liberty,2,16,4.0,985
5,US,2997.0205200389814,Mexican,Statue of Liberty,1,19,4.0,1441
6,US,3169.1191403919165,Italian,Statue of Liberty,2,26,4.0,596
7,US,3529.0862581739416,Cafes,Statue of Liberty,1,38,4.5,346
8,US,2798.573094012683,Cafes,Statue of Liberty,2,11,4.0,522
9,US,3211.0412030867165,Korean,Statue of Liberty,2,27,4.0,652
10,US,3481.0553438755355,Mexican,Statue of Liberty,2,34,4.0,797
11,US,3072.465704339922,Diners,Statue of Liberty,2,23,3.5,1150
12,US,3533.5715501918235,Latin American,Statue of Liberty,2,39,4.0,660
13,US,2860.9607188425407,Wine Bars,Statue of Liberty,3,15,4.0,546
14,US,3660.6648137781335,Seafood,Statue of Liberty,2,44,4.5,501
15,US,3387.3619900963445,Thai,Statue of Liberty,2,30,4.5,253
16,US,2251.398278015892,American (New),Statue of Liberty,3,4,3.5,367
17,US,3478.706132181249,American (New),Statue of Liberty,2,33,4.0,839
18,US,3409.4679564532403,Seafood,Statue of Liberty,2,31,4.5,249
19,US,3002.9907228347433,Cafes,Statue of Liberty,1,21,4.5,159
20,US,2841.2079018670065,Cuban,Statue of Liberty,3,14,4.5,177
21,US,3625.2599716476857,"Beer, Wine & Spirits",Statue of Liberty,2,43,4.0,576
22,US,2801.406335692635,American (New),Statue of Liberty,2,12,3.5,555
23,US,3832.041063863109,Bakeries,Statue of Liberty,1,48,5.0,159
24,US,2883.8358849646625,American (Traditional),Statue of Liberty,2,17,3.5,746
25,US,2775.50711073317,Bars,Statue of Liberty,1,10,4.5,138
26,US,2267.86466270996,American (New),Statue of Liberty,3,5,3.5,230
27,US,3868.9578141688103,Cocktail Bars,Statue of Liberty,2,49,4.5,309
28,US,3579.1023792683395,Middle Eastern,Statue of Liberty,1,42,4.0,407
29,US,3536.1258827500897,French,Statue of Liberty,2,40,4.0,344
30,US,3332.6037072340337,Sushi Bars,Statue of Liberty,2,29,4.0,465
31,US,4016.8376185229235,Desserts,Statue of Liberty,2,50,4.5,297
32,US,2769.8244489539825,American (New),Statue of Liberty,2,8,3.5,430
33,US,3525.896152404102,Sandwiches,Statue of Liberty,1,37,4.0,349
34,US,3816.491956143404,Coffee & Tea,Statue of Liberty,1,47,4.5,187
35,US,3421.9187800441373,Italian,Statue of Liberty,2,32,3.5,582
36,US,3516.471195940917,American (New),Statue of Liberty,2,36,4.0,267
37,US,2679.9017609724656,Burgers,Statue of Liberty,2,7,4.0,246
